method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
astar,bbox,5,20,-1,5,True,16,44,13,
ppo,,5,20,0,6,False,300,35,14,0.7470250000000078
astar,median,5,20,-1,6,True,18,53,13,
astar,component,5,20,-1,6,True,90,107,26,
astar,bbox,5,20,-1,6,True,21,51,12,
ppo,,5,20,0,7,False,300,6,2,0.6678316666666481
astar,median,5,20,-1,7,True,61,26,11,
astar,component,5,20,-1,7,True,11,25,8,
astar,bbox,5,20,-1,7,True,27,39,12,
ppo,,5,20,0,8,False,300,14,8,0.7356166666666771
astar,median,5,20,-1,8,True,10,35,10,
astar,component,5,20,-1,8,True,44,84,22,
astar,bbox,5,20,-1,8,True,16,43,11,
ppo,,5,20,0,9,False,300,21,9,0.7172716666666664
astar,median,5,20,-1,9,True,44,48,17,
astar,component,5,20,-1,9,True,18,59,15,
astar,bbox,5,20,-1,9,True,23,44,13,
ppo,,5,20,0,10,False,300,0,0,0.7405850000000195
astar,median,5,20,-1,10,True,64,47,14,
astar,component,5,20,-1,10,True,23,64,17,
astar,bbox,5,20,-1,10,True,19,56,14,
ppo,,5,20,0,11,False,300,320,300,0.7177859999999944
astar,median,5,20,-1,11,True,46,51,16,
astar,component,5,20,-1,11,True,71,77,18,
astar,bbox,5,20,-1,11,True,14,51,14,
ppo,,5,20,0,12,False,300,20,10,0.7466920000000007
astar,median,5,20,-1,12,True,28,37,20,
astar,component,5,20,-1,12,True,65,63,21,
astar,bbox,5,20,-1,12,True,26,49,11,
ppo,,5,20,0,13,False,300,10,6,0.6603880000000117
astar,median,5,20,-1,13,True,88,65,23,
astar,component,5,20,-1,13,False,300,257,98,
astar,bbox,5,20,-1,13,True,81,66,15,
ppo,,5,20,0,14,False,300,26,8,0.6226493333333375
astar,median,5,20,-1,14,True,22,43,20,
astar,component,5,20,-1,14,True,33,118,31,
astar,bbox,5,20,-1,14,True,16,48,12,
ppo,,5,20,0,15,False,300,7,7,0.6771410000000108
astar,median,5,20,-1,15,True,13,32,13,
astar,component,5,20,-1,15,True,43,79,34,
astar,bbox,5,20,-1,15,True,90,78,18,
ppo,,5,20,0,16,False,300,0,0,0.6422613333333516
astar,median,5,20,-1,16,True,13,27,12,
astar,component,5,20,-1,16,True,14,32,13,
astar,bbox,5,20,-1,16,True,10,34,10,
ppo,,5,20,0,17,False,300,2,1,0.6077243333333371
astar,median,5,20,-1,17,True,16,51,15,
astar,component,5,20,-1,17,True,38,85,25,
astar,bbox,5,20,-1,17,True,88,69,17,
ppo,,5,20,0,18,False,300,322,300,0.6048636666666596
astar,median,5,20,-1,18,True,13,33,13,
astar,component,5,20,-1,18,True,12,41,12,
astar,bbox,5,20,-1,18,True,12,34,12,
ppo,,5,20,0,19,False,300,20,10,0.5966536666666636
astar,median,5,20,-1,19,True,72,65,19,
astar,component,5,20,-1,19,False,300,346,80,
astar,bbox,5,20,-1,19,True,169,93,26,
ppo,,5,20,1,0,False,300,608,300,0.6546680000000057
ppo,,5,20,1,1,False,300,28,11,0.6461046666666684
ppo,,5,20,1,2,False,300,9,3,0.6327106666666538
ppo,,5,20,1,3,False,300,20,12,0.6525630000000149
ppo,,5,20,1,4,False,300,11,5,0.633631000000013
ppo,,5,20,1,5,False,300,27,19,0.6481526666666563
ppo,,5,20,1,6,False,300,324,300,0.7088113333333487
ppo,,5,20,1,7,False,300,308,300,0.7223346666666686
ppo,,5,20,1,8,False,300,6,3,0.7052926666666556
