method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances,wall_ms_per_step
astar,minimax,3,20,-1,3,True,False,14,31,14,0.9393939393939394,9,0,"[14, 8, 9]",
ppo,,3,20,0,4,0.0,0.0,300.0,8.0,6.0,0.5333333333333333,294.0,0.0,"[2.0, 0.0, 6.0]",0.4268440000000003
astar,median,3,20,-1,4,True,True,15,17,15,0.4243759177679883,0,0,"[1, 1, 15]",
astar,component,3,20,-1,4,True,True,24,45,21,0.9259259259259259,0,0,"[12, 12, 21]",
astar,bbox,3,20,-1,4,True,True,20,28,10,0.9974554707379135,0,0,"[9, 9, 10]",
astar,minimax,3,20,-1,4,True,True,8,24,8,1.0,0,0,"[8, 8, 8]",
ppo,,3,20,0,5,0.0,0.0,300.0,18.0,6.0,1.0,293.0,0.0,"[6.0, 6.0, 6.0]",0.43094333333333346
astar,median,3,20,-1,5,True,False,13,18,9,0.8852459016393442,4,0,"[9, 4, 5]",
astar,component,3,20,-1,5,True,False,21,36,14,0.9863013698630136,12,0,"[11, 14, 11]",
astar,bbox,3,20,-1,5,True,False,11,20,7,0.9950248756218906,4,0,"[7, 6, 7]",
astar,minimax,3,20,-1,5,True,False,11,22,8,0.9958847736625515,4,0,"[7, 7, 8]",
ppo,,3,20,0,6,0.0,0.0,300.0,13.0,6.0,0.8666666666666667,298.0,0.0,"[6.0, 5.0, 2.0]",0.41443666666666584
astar,median,3,20,-1,6,True,False,29,28,26,0.3843137254901961,3,0,"[2, 0, 26]",
astar,component,3,20,-1,6,True,False,43,87,29,1.0,3,0,"[29, 29, 29]",
astar,bbox,3,20,-1,6,True,False,15,42,15,0.98989898989899,3,0,"[15, 15, 12]",
astar,minimax,3,20,-1,6,True,False,16,43,16,0.9924852388620504,3,0,"[16, 14, 13]",
ppo,,3,20,0,7,0.0,0.0,300.0,4.0,4.0,0.3333333333333333,301.0,0.0,"[4.0, 0.0, 0.0]",0.39562500000000017
astar,median,3,20,-1,7,True,False,17,19,11,0.7763440860215054,9,0,"[5, 11, 3]",
astar,component,3,20,-1,7,True,False,17,27,11,0.9681274900398407,6,0,"[7, 11, 9]",
astar,bbox,3,20,-1,7,True,False,39,29,13,0.9375696767001115,9,3,"[9, 13, 7]",
astar,minimax,3,20,-1,7,True,False,75,35,13,0.9745425616547335,6,40,"[13, 9, 13]",
ppo,,3,20,0,8,0.0,0.0,300.0,5.0,2.0,0.9259259259259259,596.0,0.0,"[2.0, 2.0, 1.0]",0.39451000000000275
astar,median,3,20,-1,8,True,False,12,18,9,0.8852459016393442,6,0,"[9, 5, 4]",
astar,component,3,20,-1,8,True,False,21,34,15,0.9490968801313628,5,0,"[15, 9, 10]",
astar,bbox,3,20,-1,8,True,True,7,21,7,1.0,0,0,"[7, 7, 7]",
astar,minimax,3,20,-1,8,True,False,13,22,8,0.9958847736625515,11,0,"[7, 8, 7]",
ppo,,3,20,0,9,0.0,0.0,300.0,5.0,3.0,0.6410256410256411,298.0,0.0,"[2.0, 3.0, 0.0]",0.389330999999998
