map_seed,m,n,method,variant,rollout,success,steps,total_distance,max_distance,jain,obs_collisions,revealed,per_robot_distances
10002,20,3,ppo,seed0,4,False,300,290,122,0.9102913798328788,230,0.22,"[54, 114, 122]"
10002,20,3,ppo,seed1,0,True,163,233,99,0.8942201577967749,94,0.225,"[94, 40, 99]"
10002,20,3,ppo,seed1,1,True,146,149,57,0.9764260896336368,101,0.2275,"[39, 57, 53]"
10002,20,3,ppo,seed1,2,False,300,325,135,0.9275847230638178,217,0.2925,"[66, 124, 135]"
10002,20,3,ppo,seed1,3,True,178,181,83,0.8565639135095563,150,0.2625,"[26, 72, 83]"
10002,20,3,ppo,seed1,4,False,300,361,141,0.9826128917942802,217,0.33,"[102, 141, 118]"
10002,20,3,ppo,seed2,0,True,85,127,53,0.9568131933321469,36,0.21,"[53, 43, 31]"
10002,20,3,ppo,seed2,1,True,85,104,38,0.9932047750229568,37,0.23,"[31, 35, 38]"
10002,20,3,ppo,seed2,2,True,180,224,93,0.9644408564948295,93,0.3325,"[58, 93, 73]"
10002,20,3,ppo,seed2,3,True,174,202,82,0.9629944302841499,67,0.25,"[50, 82, 70]"
10002,20,3,ppo,seed2,4,True,36,55,22,0.9761213294611165,17,0.1775,"[15, 18, 22]"
10002,20,3,frontier,danger,0,False,300,23,15,0.6861219195849546,0,0.2,"[4, 4, 15]"
10002,20,3,frontier,no_danger,0,True,10,24,10,0.9696969696969697,0,0.1775,"[7, 7, 10]"
10002,20,4,ppo,seed0,0,True,58,112,36,0.9474320241691843,26,0.2325,"[27, 31, 36, 18]"
10002,20,4,ppo,seed0,1,True,199,321,109,0.9425976069376852,92,0.225,"[54, 74, 109, 84]"
10002,20,4,ppo,seed0,2,True,46,91,29,0.9660522631824545,32,0.2125,"[22, 23, 29, 17]"
10002,20,4,ppo,seed0,3,True,35,74,20,0.9934687953555879,21,0.205,"[19, 20, 19, 16]"
10002,20,4,ppo,seed0,4,True,36,81,25,0.9631532589547857,15,0.2175,"[18, 15, 25, 23]"
10002,20,4,ppo,seed1,0,True,133,231,67,0.9911769076454418,96,0.285,"[55, 56, 67, 53]"
10002,20,4,ppo,seed1,1,False,300,448,139,0.9606003752345216,256,0.2925,"[110, 122, 139, 77]"
10002,20,4,ppo,seed1,2,False,300,247,94,0.9083586445119409,109,0.255,"[94, 57, 55, 41]"
10002,20,4,ppo,seed1,3,True,34,89,25,0.9847090999502734,9,0.215,"[25, 19, 25, 20]"
10002,20,4,ppo,seed1,4,False,300,263,83,0.9488203017832647,112,0.2625,"[78, 83, 46, 56]"
10002,20,4,ppo,seed2,0,True,246,403,124,0.9779668569501649,229,0.29,"[90, 124, 85, 104]"
10002,20,4,ppo,seed2,1,True,189,237,69,0.9782131661442006,107,0.255,"[52, 67, 69, 49]"
10002,20,4,ppo,seed2,2,True,26,58,18,0.9666666666666667,10,0.2,"[18, 13, 16, 11]"
10002,20,4,ppo,seed2,3,True,188,268,71,0.9939112144359571,129,0.275,"[70, 58, 69, 71]"
10002,20,4,ppo,seed2,4,True,39,90,24,0.9916748285994124,15,0.22,"[23, 24, 19, 24]"
10002,20,4,frontier,danger,0,False,300,98,32,0.9400939702427564,0,0.3475,"[24, 32, 27, 15]"
10002,20,4,frontier,no_danger,0,False,300,30,9,0.9868421052631579,0,0.185,"[7, 7, 7, 9]"
10002,20,5,ppo,seed0,0,True,191,459,104,0.9913233737207388,135,0.2875,"[82, 104, 95, 82, 96]"
10002,20,5,ppo,seed0,1,False,300,690,160,0.976375046142488,160,0.37,"[105, 157, 121, 147, 160]"
10002,20,5,ppo,seed0,2,False,300,356,98,0.9447335072679836,153,0.2925,"[49, 70, 81, 58, 98]"
10002,20,5,ppo,seed0,3,True,83,198,53,0.9340957827019299,57,0.285,"[24, 48, 41, 32, 53]"
10002,20,5,ppo,seed0,4,False,300,639,138,0.9951403190231894,182,0.3625,"[137, 115, 128, 121, 138]"
10002,20,5,ppo,seed1,0,True,46,119,30,0.9623513421678559,34,0.23,"[17, 30, 25, 20, 27]"
10002,20,5,ppo,seed1,1,True,160,357,92,0.9740456265046429,94,0.295,"[66, 74, 68, 57, 92]"
10002,20,5,ppo,seed1,2,True,274,508,122,0.9284213555907325,198,0.2875,"[49, 122, 95, 121, 121]"
10002,20,5,ppo,seed1,3,True,117,200,67,0.8428150021070375,87,0.275,"[21, 53, 27, 32, 67]"
10002,20,5,ppo,seed1,4,True,222,402,95,0.987980681053983,121,0.2725,"[74, 76, 95, 71, 86]"
10002,20,5,ppo,seed2,0,False,300,392,121,0.8523629909030397,127,0.2725,"[45, 121, 115, 57, 54]"
10002,20,5,ppo,seed2,1,True,279,502,120,0.9719001889775927,134,0.275,"[100, 119, 120, 79, 84]"
