method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
ppo,,3,20,0,11,1.0,0.4,12.0,27.0,11.0,0.9721118199373681,1.2,0.0,0.2647077829654639
astar,median,3,20,-1,11,True,True,5,10,5,0.6666666666666666,0,0,
astar,component,3,20,-1,11,True,True,5,10,5,0.6666666666666666,0,0,
astar,bbox,3,20,-1,11,True,True,5,13,5,0.9548022598870056,0,0,
ppo,,3,20,0,12,1.0,0.0,82.2,130.8,53.0,0.9608811975173415,41.2,6.2,0.20430427497261885
astar,median,3,20,-1,12,True,False,19,22,13,0.6453333333333333,6,0,
astar,component,3,20,-1,12,True,False,25,32,17,0.8244766505636071,8,0,
astar,bbox,3,20,-1,12,True,False,38,37,14,0.9898770788141721,6,0,
ppo,,3,20,0,13,1.0,0.0,161.4,216.0,85.4,0.9551433800987702,126.8,14.8,0.2018392341796544
astar,median,3,20,-1,13,True,False,22,30,16,0.704225352112676,10,0,
astar,component,3,20,-1,13,True,False,19,44,18,0.9490196078431372,1,0,
astar,bbox,3,20,-1,13,True,False,18,38,14,0.9944903581267218,12,0,
ppo,,3,20,0,14,1.0,0.0,50.0,86.8,34.2,0.9807668301892857,16.2,9.6,0.21582343196496367
astar,median,3,20,-1,14,True,False,23,22,17,0.5138004246284501,6,0,
astar,component,3,20,-1,14,True,False,22,42,17,0.9702970297029703,4,0,
astar,bbox,3,20,-1,14,True,False,34,36,13,0.9953917050691244,3,20,
ppo,,3,20,0,15,1.0,0.0,35.6,65.8,27.4,0.9556017045026005,16.6,2.4,0.22152694938913658
astar,median,3,20,-1,15,True,False,16,23,14,0.7081659973226239,2,0,
astar,component,3,20,-1,15,True,True,21,42,21,0.8828828828828829,0,0,
astar,bbox,3,20,-1,15,True,True,9,25,9,0.9873617693522907,0,0,
ppo,,3,20,0,16,1.0,0.6,10.8,24.8,10.0,0.9501896170733156,0.4,0.8,0.2824134630996182
astar,median,3,20,-1,16,True,True,5,9,5,0.7714285714285715,0,0,
astar,component,3,20,-1,16,True,True,6,10,6,0.7575757575757576,0,0,
astar,bbox,3,20,-1,16,True,True,4,12,4,1.0,0,0,
ppo,,3,20,0,17,1.0,0.8,11.2,22.2,8.4,0.9833362201381822,0.6,1.0,0.27075005345977843
astar,median,3,20,-1,17,True,True,5,9,5,0.6585365853658537,0,0,
astar,component,3,20,-1,17,True,True,8,17,7,0.9003115264797508,0,0,
astar,bbox,3,20,-1,17,True,True,5,11,5,0.7908496732026143,0,0,
ppo,,3,20,0,18,1.0,0.0,31.2,60.2,23.4,0.9770660200072561,12.8,1.0,0.2272375448881529
astar,median,3,20,-1,18,True,True,9,18,9,0.6666666666666666,0,0,
astar,component,3,20,-1,18,True,False,21,33,12,0.983739837398374,9,6,
astar,bbox,3,20,-1,18,True,False,32,36,15,0.968609865470852,9,32,
ppo,,3,20,0,19,1.0,0.0,71.8,120.4,48.0,0.9736769930799161,35.8,6.8,0.21156020044844628
astar,median,3,20,-1,19,True,True,18,21,18,0.44144144144144143,0,0,
astar,component,3,20,-1,19,True,False,36,66,29,0.9490196078431372,6,1,
astar,bbox,3,20,-1,19,True,True,45,33,13,0.9628647214854111,0,80,
ppo,,3,20,1,0,1.0,0.0,53.4,92.4,33.8,0.9905439281595715,28.0,4.2,0.22175088755905015
ppo,,3,20,1,1,0.8,0.0,102.8,179.2,69.8,0.9812324404253303,45.8,6.0,0.2246879377304522
ppo,,3,20,1,2,1.0,0.0,99.4,127.8,51.2,0.9756153854719404,59.4,17.4,0.21143380275663265
ppo,,3,20,1,3,1.0,0.0,41.4,75.8,30.2,0.9687875806449459,15.4,0.2,0.21412679228193807
ppo,,3,20,1,4,1.0,0.0,48.6,76.4,30.8,0.9545420817556654,22.0,7.2,0.21016624695793898
ppo,,3,20,1,5,1.0,0.0,120.0,176.8,68.4,0.9787299014813039,47.2,19.2,0.20278574666008353
ppo,,3,20,1,6,1.0,0.0,48.6,91.4,36.8,0.9470223395960844,20.6,2.2,0.2088857038088388
ppo,,3,20,1,7,0.8,0.0,176.2,233.2,98.8,0.9229329788457449,133.8,14.0,0.1998660204193167
ppo,,3,20,1,8,1.0,0.0,66.0,101.6,39.8,0.9652597061801886,36.8,5.8,0.2058984697655295
ppo,,3,20,1,9,1.0,0.4,27.2,48.2,18.8,0.9677832681643068,7.8,3.2,0.22319030112532132
ppo,,3,20,1,10,1.0,0.2,20.4,41.8,16.0,0.9833649611132028,1.2,1.0,0.2320522063539601
ppo,,3,20,1,11,1.0,0.4,11.0,24.6,10.0,0.9620529440660877,1.0,0.2,0.2606680182824758
ppo,,3,20,1,12,1.0,0.0,86.6,124.8,47.4,0.9868064337322512,39.4,10.2,0.20474632562075765
ppo,,3,20,1,13,1.0,0.0,117.0,150.8,62.4,0.9604402758958681,76.2,11.2,0.20304008548219615
ppo,,3,20,1,14,1.0,0.2,83.8,133.6,50.2,0.9917774951280387,39.2,13.6,0.20673714074148378
ppo,,3,20,1,15,1.0,0.0,35.2,69.6,27.8,0.9554390592730322,10.8,1.8,0.21600207368134183
ppo,,3,20,1,16,1.0,0.6,11.0,24.0,10.0,0.9355416787515723,0.8,0.0,0.2635949450037019
ppo,,3,20,1,17,1.0,1.0,20.0,42.0,15.6,0.9898085253192768,0.0,1.2,0.23100101039744914
ppo,,3,20,1,18,1.0,0.0,60.2,107.2,40.8,0.9866587417482002,30.4,6.8,0.2085644849637938
ppo,,3,20,1,19,0.8,0.0,135.2,217.6,90.2,0.9472022505464512,68.0,10.4,0.20053836535290434
ppo,,3,20,2,0,1.0,0.2,31.0,61.0,22.6,0.9896262352344157,7.2,3.6,0.23150548391464737
ppo,,3,20,2,1,1.0,0.0,54.0,95.6,36.2,0.9841961534052522,17.6,4.4,0.2127632593598079
ppo,,3,20,2,2,1.0,0.0,150.8,220.6,84.4,0.980227085648386,77.0,17.0,0.20226694298265824
ppo,,3,20,2,3,1.0,0.0,62.0,109.4,42.2,0.97548055753456,30.6,2.4,0.21272263876462896
ppo,,3,20,2,4,1.0,0.0,58.4,91.2,38.6,0.9494969847385738,29.4,6.8,0.21700043835651692
ppo,,3,20,2,5,1.0,0.0,72.6,107.6,42.4,0.9758750616743164,38.0,11.0,0.20876657294709822
ppo,,3,20,2,6,1.0,0.0,54.4,105.2,43.0,0.953413646549779,18.0,1.8,0.20864966170526766
ppo,,3,20,2,7,1.0,0.0,124.0,174.0,69.8,0.9665197901338727,89.0,2.6,0.20075615480422013
ppo,,3,20,2,8,1.0,0.0,62.2,102.6,41.8,0.956733365818797,36.6,4.4,0.2052055885551132
ppo,,3,20,2,9,1.0,0.4,16.6,37.0,14.0,0.9836056920703588,2.6,0.6,0.23856939725488066
ppo,,3,20,2,10,1.0,0.4,18.2,36.8,13.8,0.989908804978078,2.0,0.4,0.23382932976256687
ppo,,3,20,2,11,1.0,0.4,14.4,29.6,11.0,0.9808133967017252,1.0,0.4,0.24104556925724158
ppo,,3,20,2,12,1.0,0.0,108.4,168.0,68.8,0.9593919706728367,61.6,13.4,0.19956911805367641
ppo,,3,20,2,13,0.8,0.0,119.6,141.2,54.2,0.9757409828832977,98.6,9.4,0.19806633776608218
ppo,,3,20,2,14,1.0,0.0,28.2,57.6,21.6,0.9708608155954946,9.2,3.2,0.22174743274953349
ppo,,3,20,2,15,1.0,0.0,32.8,60.4,25.4,0.9522673425903264,17.4,1.6,0.21529224383213172
ppo,,3,20,2,16,1.0,1.0,12.0,25.6,10.6,0.9499170090468197,0.0,0.2,0.25410000040816766
ppo,,3,20,2,17,1.0,0.8,15.8,31.4,12.2,0.978871877150385,0.2,2.4,0.23931401260079274
ppo,,3,20,2,18,1.0,0.0,80.6,122.0,44.4,0.9905784949835799,32.4,9.0,0.2015012133838817
ppo,,3,20,2,19,1.0,0.0,84.0,139.4,54.8,0.9670799458309929,43.6,9.8,0.20212039054881425
ppo,,4,20,0,0,1.0,0.2,33.0,89.0,25.0,0.9742352226999536,5.0,4.8,0.25188296955699724
astar,median,4,20,-1,0,True,False,91,51,25,0.7623094958968347,9,68,
astar,component,4,20,-1,0,True,True,61,50,20,0.8852691218130312,0,67,
astar,bbox,4,20,-1,0,True,True,33,32,10,0.9624060150375939,0,87,
ppo,,4,20,0,1,1.0,0.0,45.8,121.0,34.2,0.987177626746185,11.0,6.0,0.24013663311671937
astar,median,4,20,-1,1,True,False,20,38,20,0.5486322188449848,4,0,
astar,component,4,20,-1,1,True,False,20,58,18,0.9688940092165899,1,0,
astar,bbox,4,20,-1,1,True,False,12,35,12,0.9540498442367601,1,12,
ppo,,4,20,0,2,0.6,0.0,227.6,383.0,109.2,0.9838422436338646,162.4,55.0,0.2440651063398116
astar,median,4,20,-1,2,True,False,14,17,12,0.4722222222222222,2,0,
astar,component,4,20,-1,2,True,False,14,17,12,0.4722222222222222,2,0,
astar,bbox,4,20,-1,2,True,False,38,31,12,0.8429824561403508,2,101,
ppo,,4,20,0,3,1.0,0.0,61.2,140.6,46.0,0.9516047500600294,40.2,7.0,0.2543483529805991
astar,median,4,20,-1,3,True,False,18,35,12,0.8299457994579946,7,0,
astar,component,4,20,-1,3,True,False,87,107,30,0.9832531776021985,15,71,
astar,bbox,4,20,-1,3,True,False,92,62,20,0.9707070707070707,5,158,
ppo,,4,20,0,4,1.0,0.0,60.8,132.2,42.4,0.9580353963656691,20.2,15.4,0.25516905263525824
astar,median,4,20,-1,4,True,False,69,44,17,0.8673835125448028,7,139,
astar,component,4,20,-1,4,True,False,18,55,15,0.9963768115942029,7,5,
astar,bbox,4,20,-1,4,True,False,32,50,16,0.9704968944099379,11,47,
ppo,,4,20,0,5,1.0,0.2,90.0,191.4,55.4,0.9698813231764765,53.0,18.8,0.24974203552119434
astar,median,4,20,-1,5,True,False,15,32,12,0.8366013071895425,7,0,
astar,component,4,20,-1,5,True,False,102,81,22,0.9959016393442623,15,128,
astar,bbox,4,20,-1,5,True,False,16,38,13,0.9352331606217616,9,0,
ppo,,4,20,0,6,1.0,0.0,50.8,131.0,35.4,0.9916207725421563,12.8,7.8,0.2579051810115077
astar,median,4,20,-1,6,True,False,19,46,13,0.9906367041198502,7,16,
astar,component,4,20,-1,6,True,False,30,78,21,0.9889466840052016,4,0,
astar,bbox,4,20,-1,6,True,False,17,54,17,0.9617414248021108,7,0,
ppo,,4,20,0,7,1.0,0.0,130.0,260.2,83.8,0.938608828280208,107.6,17.0,0.24665339993169674
astar,median,4,20,-1,7,True,True,42,27,12,0.7689873417721519,0,13,
astar,component,4,20,-1,7,True,True,12,25,11,0.8012820512820513,0,15,
astar,bbox,4,20,-1,7,True,False,69,43,13,0.9570393374741201,4,105,
ppo,,4,20,0,8,1.0,0.0,36.6,82.2,24.6,0.9764256840129202,7.2,8.2,0.263258535542164
astar,median,4,20,-1,8,True,True,55,29,13,0.6549844236760125,0,123,
