method,config,n_robots,map_size,seed,episode,success,steps,total_distance,max_distance,inference_ms_per_step
astar,N4_M20,4,20,1,18,1,11,40,11,
ppo,N4_M20,4,20,1,19,0,256,14,11,0.469
astar,N4_M20,4,20,1,19,1,11,38,11,
ppo,N4_M20,4,20,2,0,0,256,2,1,0.497
astar,N4_M20,4,20,2,0,1,14,42,12,
ppo,N4_M20,4,20,2,1,0,256,13,4,0.47
astar,N4_M20,4,20,2,1,1,13,46,13,
ppo,N4_M20,4,20,2,2,0,256,6,3,0.453
astar,N4_M20,4,20,2,2,1,7,28,7,
ppo,N4_M20,4,20,2,3,0,256,7,5,0.46
astar,N4_M20,4,20,2,3,1,9,34,9,
ppo,N4_M20,4,20,2,4,0,256,8,4,0.481
astar,N4_M20,4,20,2,4,1,13,46,12,
ppo,N4_M20,4,20,2,5,0,256,35,14,0.48
astar,N4_M20,4,20,2,5,1,2,8,2,
ppo,N4_M20,4,20,2,6,0,256,11,5,0.476
astar,N4_M20,4,20,2,6,1,4,13,4,
ppo,N4_M20,4,20,2,7,0,256,6,5,0.48
astar,N4_M20,4,20,2,7,1,21,73,19,
ppo,N4_M20,4,20,2,8,0,256,16,5,0.473
astar,N4_M20,4,20,2,8,1,23,83,22,
ppo,N4_M20,4,20,2,9,0,256,32,14,0.484
astar,N4_M20,4,20,2,9,1,16,55,16,
ppo,N4_M20,4,20,2,10,0,256,7,6,0.449
astar,N4_M20,4,20,2,10,1,12,45,12,
ppo,N4_M20,4,20,2,11,0,256,14,7,0.469
astar,N4_M20,4,20,2,11,0,256,1021,256,
ppo,N4_M20,4,20,2,12,0,256,257,256,0.479
astar,N4_M20,4,20,2,12,1,9,32,9,
ppo,N4_M20,4,20,2,13,0,256,0,0,0.489
astar,N4_M20,4,20,2,13,1,34,110,30,
ppo,N4_M20,4,20,2,14,0,256,19,12,0.474
astar,N4_M20,4,20,2,14,1,11,42,11,
ppo,N4_M20,4,20,2,15,0,256,5,3,0.481
astar,N4_M20,4,20,2,15,1,11,37,10,
ppo,N4_M20,4,20,2,16,0,256,268,246,0.484
astar,N4_M20,4,20,2,16,1,11,36,11,
ppo,N4_M20,4,20,2,17,0,256,2,1,0.464
astar,N4_M20,4,20,2,17,1,17,55,15,
ppo,N4_M20,4,20,2,18,0,256,5,3,0.465
astar,N4_M20,4,20,2,18,1,17,56,16,
ppo,N4_M20,4,20,2,19,0,256,1,1,0.473
astar,N4_M20,4,20,2,19,1,9,31,9,
ppo,N5_M20,5,20,0,0,0,256,7,3,0.561
astar,N5_M20,5,20,0,0,1,17,67,17,
ppo,N5_M20,5,20,0,1,0,256,3,2,0.543
astar,N5_M20,5,20,0,1,1,17,72,17,
ppo,N5_M20,5,20,0,2,0,256,15,5,0.556
astar,N5_M20,5,20,0,2,1,13,63,13,
ppo,N5_M20,5,20,0,3,0,256,18,8,0.575
astar,N5_M20,5,20,0,3,1,5,21,5,
ppo,N5_M20,5,20,0,4,0,256,17,9,0.535
astar,N5_M20,5,20,0,4,1,11,47,11,
ppo,N5_M20,5,20,0,5,0,256,9,5,0.515
astar,N5_M20,5,20,0,5,1,17,71,17,
ppo,N5_M20,5,20,0,6,0,256,11,8,0.53
astar,N5_M20,5,20,0,6,1,11,51,11,
ppo,N5_M20,5,20,0,7,0,256,21,6,0.537
astar,N5_M20,5,20,0,7,1,25,106,25,
ppo,N5_M20,5,20,0,8,0,256,14,8,0.54
astar,N5_M20,5,20,0,8,1,12,55,12,
ppo,N5_M20,5,20,0,9,0,256,5,2,0.538
astar,N5_M20,5,20,0,9,1,31,123,30,
ppo,N5_M20,5,20,0,10,0,256,12,7,0.552
astar,N5_M20,5,20,0,10,1,10,42,10,
ppo,N5_M20,5,20,0,11,0,256,29,11,0.547
astar,N5_M20,5,20,0,11,1,14,60,14,
ppo,N5_M20,5,20,0,12,0,256,11,5,0.515
astar,N5_M20,5,20,0,12,1,9,42,9,
ppo,N5_M20,5,20,0,13,0,256,14,9,0.528
astar,N5_M20,5,20,0,13,1,14,60,14,
ppo,N5_M20,5,20,0,14,0,256,268,256,0.552
astar,N5_M20,5,20,0,14,1,19,82,19,
ppo,N5_M20,5,20,0,15,0,256,9,5,0.544
astar,N5_M20,5,20,0,15,1,9,40,9,
ppo,N5_M20,5,20,0,16,0,256,28,11,0.548
astar,N5_M20,5,20,0,16,1,6,30,6,
ppo,N5_M20,5,20,0,17,0,256,4,1,0.546
astar,N5_M20,5,20,0,17,0,256,36,8,
ppo,N5_M20,5,20,0,18,0,256,6,3,0.559
astar,N5_M20,5,20,0,18,1,8,38,8,
ppo,N5_M20,5,20,0,19,0,256,0,0,0.563
astar,N5_M20,5,20,0,19,1,16,69,16,
ppo,N5_M20,5,20,1,0,0,256,518,256,0.548
astar,N5_M20,5,20,1,0,1,13,59,13,
ppo,N5_M20,5,20,1,1,0,256,264,256,0.526
astar,N5_M20,5,20,1,1,1,20,87,19,
ppo,N5_M20,5,20,1,2,0,256,11,7,0.515
astar,N5_M20,5,20,1,2,1,22,96,22,
ppo,N5_M20,5,20,1,3,0,256,9,3,0.557
astar,N5_M20,5,20,1,3,1,9,41,9,
ppo,N5_M20,5,20,1,4,0,256,19,7,0.568
astar,N5_M20,5,20,1,4,1,17,70,17,
ppo,N5_M20,5,20,1,5,0,256,6,4,0.576
astar,N5_M20,5,20,1,5,1,11,51,11,
ppo,N5_M20,5,20,1,6,0,256,13,4,0.557
astar,N5_M20,5,20,1,6,1,13,55,13,
ppo,N5_M20,5,20,1,7,0,256,8,3,0.542
astar,N5_M20,5,20,1,7,1,13,57,13,
ppo,N5_M20,5,20,1,8,0,256,8,6,0.539
astar,N5_M20,5,20,1,8,1,13,60,13,
ppo,N5_M20,5,20,1,9,0,256,26,12,0.538
astar,N5_M20,5,20,1,9,1,17,71,17,
ppo,N5_M20,5,20,1,10,0,256,12,7,0.56
astar,N5_M20,5,20,1,10,1,14,65,14,
ppo,N5_M20,5,20,1,11,0,256,4,3,0.549
astar,N5_M20,5,20,1,11,1,10,44,10,
ppo,N5_M20,5,20,1,12,0,256,18,9,0.55
astar,N5_M20,5,20,1,12,1,18,78,18,
ppo,N5_M20,5,20,1,13,0,256,9,5,0.577
astar,N5_M20,5,20,1,13,1,11,47,11,
ppo,N5_M20,5,20,1,14,0,256,13,5,0.578
astar,N5_M20,5,20,1,14,1,17,75,16,
ppo,N5_M20,5,20,1,15,0,256,7,5,0.521
astar,N5_M20,5,20,1,15,1,14,57,14,
ppo,N5_M20,5,20,1,16,0,256,13,6,0.52
astar,N5_M20,5,20,1,16,1,20,90,20,
ppo,N5_M20,5,20,1,17,0,256,7,2,0.552
astar,N5_M20,5,20,1,17,1,20,89,20,
ppo,N5_M20,5,20,1,18,0,256,261,256,0.557
astar,N5_M20,5,20,1,18,1,12,52,12,
ppo,N5_M20,5,20,1,19,0,256,8,3,0.564
astar,N5_M20,5,20,1,19,1,10,45,10,
ppo,N5_M20,5,20,2,0,0,256,17,8,0.551
astar,N5_M20,5,20,2,0,1,20,82,18,
ppo,N5_M20,5,20,2,1,0,256,300,256,0.55
astar,N5_M20,5,20,2,1,1,17,74,17,
ppo,N5_M20,5,20,2,2,0,256,8,2,0.529
astar,N5_M20,5,20,2,2,1,14,59,13,
ppo,N5_M20,5,20,2,3,0,256,17,8,0.531
astar,N5_M20,5,20,2,3,1,9,37,9,
ppo,N5_M20,5,20,2,4,0,256,267,256,0.549
astar,N5_M20,5,20,2,4,1,14,54,13,
ppo,N5_M20,5,20,2,5,0,256,273,254,0.546
astar,N5_M20,5,20,2,5,1,11,45,11,
ppo,N5_M20,5,20,2,6,0,256,21,5,0.543
astar,N5_M20,5,20,2,6,1,11,43,10,
ppo,N5_M20,5,20,2,7,0,256,7,4,0.547
astar,N5_M20,5,20,2,7,1,19,86,19,
ppo,N5_M20,5,20,2,8,0,256,20,10,0.552
astar,N5_M20,5,20,2,8,1,7,32,7,
ppo,N5_M20,5,20,2,9,0,256,256,256,0.527
astar,N5_M20,5,20,2,9,1,13,59,13,
ppo,N5_M20,5,20,2,10,0,256,15,11,0.517
astar,N5_M20,5,20,2,10,1,20,80,20,
ppo,N5_M20,5,20,2,11,0,256,269,256,0.562
astar,N5_M20,5,20,2,11,1,9,39,9,
ppo,N5_M20,5,20,2,12,0,256,8,6,0.557
astar,N5_M20,5,20,2,12,0,256,1020,255,
ppo,N5_M20,5,20,2,13,0,256,18,6,0.556
astar,N5_M20,5,20,2,13,1,15,60,15,
ppo,N5_M20,5,20,2,14,0,256,271,253,0.551
astar,N5_M20,5,20,2,14,1,10,43,10,
ppo,N5_M20,5,20,2,15,0,256,261,256,0.574
astar,N5_M20,5,20,2,15,1,14,55,12,
ppo,N5_M20,5,20,2,16,0,256,21,7,0.525
astar,N5_M20,5,20,2,16,1,10,45,10,
ppo,N5_M20,5,20,2,17,0,256,268,255,0.548
astar,N5_M20,5,20,2,17,1,6,30,6,
ppo,N5_M20,5,20,2,18,0,256,10,7,0.576
astar,N5_M20,5,20,2,18,1,9,38,9,
ppo,N5_M20,5,20,2,19,0,256,13,5,0.562
astar,N5_M20,5,20,2,19,1,9,40,9,
ppo,N5_M25,5,25,0,0,0,256,23,10,0.552
astar,N5_M25,5,25,0,0,1,15,64,15,
ppo,N5_M25,5,25,0,1,0,256,42,19,0.563
astar,N5_M25,5,25,0,1,1,14,64,14,
ppo,N5_M25,5,25,0,2,0,256,6,4,0.54
astar,N5_M25,5,25,0,2,1,15,69,15,
ppo,N5_M25,5,25,0,3,0,256,27,12,0.533
astar,N5_M25,5,25,0,3,1,20,81,19,
ppo,N5_M25,5,25,0,4,0,256,261,256,0.547
astar,N5_M25,5,25,0,4,1,12,56,12,
ppo,N5_M25,5,25,0,5,0,256,15,8,0.572
astar,N5_M25,5,25,0,5,1,19,74,17,
ppo,N5_M25,5,25,0,6,0,256,2,2,0.561
