config,n,m,variant,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances
N5_M20,5,20,danger,17,False,False,300,45,9,1.0,0,0,"[9, 9, 9, 9, 9]"
N5_M20,5,20,danger,18,False,False,300,47,12,0.9752759381898455,0,581,"[8, 9, 8, 12, 10]"
N5_M20,5,20,danger,19,False,False,300,94,37,0.7798764342453662,0,611,"[12, 10, 13, 37, 22]"
N5_M20,5,20,no_danger,0,False,False,300,45,11,0.9759036144578314,0,872,"[8, 9, 11, 7, 10]"
N5_M20,5,20,no_danger,1,False,False,300,47,13,0.9625272331154684,0,1166,"[8, 9, 8, 13, 9]"
N5_M20,5,20,no_danger,2,False,False,300,22,6,0.8344827586206897,0,1478,"[2, 6, 6, 2, 6]"
N5_M20,5,20,no_danger,3,False,False,300,63,15,0.9885429638854296,0,575,"[15, 13, 12, 11, 12]"
N5_M20,5,20,no_danger,4,False,False,300,45,12,0.9665871121718377,0,582,"[8, 12, 9, 7, 9]"
N5_M20,5,20,no_danger,5,False,False,300,53,15,0.9538200339558573,0,582,"[15, 11, 9, 9, 9]"
N5_M20,5,20,no_danger,6,True,True,14,61,14,0.9909454061251665,0,2,"[13, 14, 11, 11, 12]"
N5_M20,5,20,no_danger,7,False,False,300,24,7,0.9,0,299,"[7, 6, 5, 3, 3]"
N5_M20,5,20,no_danger,8,True,True,14,55,14,0.9497645211930926,0,10,"[8, 14, 13, 12, 8]"
N5_M20,5,20,no_danger,9,False,False,300,58,13,0.9865102639296187,0,288,"[10, 10, 12, 13, 13]"
N5_M20,5,20,no_danger,10,False,False,300,64,15,0.9917675544794189,0,575,"[12, 13, 12, 12, 15]"
N5_M20,5,20,no_danger,11,True,True,12,53,12,0.9804537521815009,0,1,"[10, 11, 8, 12, 12]"
N5_M20,5,20,no_danger,12,False,False,300,46,10,0.9887850467289719,0,1454,"[10, 10, 8, 8, 10]"
N5_M20,5,20,no_danger,13,False,False,300,63,18,0.8949267192784668,0,587,"[15, 8, 7, 18, 15]"
N5_M20,5,20,no_danger,14,True,True,12,48,12,0.96,0,4,"[8, 12, 8, 8, 12]"
N5_M20,5,20,no_danger,15,True,True,15,69,15,0.9970680628272252,0,1,"[14, 13, 13, 15, 14]"
N5_M20,5,20,no_danger,16,False,False,300,44,12,0.96318407960199,0,879,"[9, 12, 8, 7, 8]"
N5_M20,5,20,no_danger,17,False,False,300,58,14,0.9807580174927114,0,573,"[10, 10, 11, 13, 14]"
N5_M20,5,20,no_danger,18,False,False,300,41,12,0.9313019390581717,0,879,"[6, 6, 8, 12, 9]"
N5_M20,5,20,no_danger,19,False,False,300,63,15,0.9716034271725826,0,292,"[10, 14, 10, 14, 15]"
N5_M25,5,25,danger,0,False,False,300,45,13,0.9142212189616253,0,880,"[13, 5, 7, 10, 10]"
N5_M25,5,25,danger,1,True,True,16,44,16,0.8238297872340425,0,36,"[8, 5, 10, 16, 5]"
N5_M25,5,25,danger,2,True,True,13,61,13,0.9989261744966443,0,1,"[12, 12, 12, 12, 13]"
N5_M25,5,25,danger,3,False,False,300,187,51,0.794659697761618,0,24,"[51, 42, 50, 44, 0]"
N5_M25,5,25,danger,4,True,True,13,43,13,0.8501149425287357,0,22,"[6, 13, 6, 13, 5]"
N5_M25,5,25,danger,5,False,False,300,612,300,0.4159936025589764,0,588,"[0, 300, 6, 6, 300]"
N5_M25,5,25,danger,6,True,True,17,82,17,0.9991084695393759,0,0,"[17, 16, 16, 16, 17]"
