config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N4_M20,4,20,1,8,4,1,26,11.2,12.75,51.0,18.0,0.9383,13,5
N4_M20,4,20,1,9,0,1,17,7.93,11.5,46.0,15.0,0.9689,1,0
N4_M20,4,20,1,9,1,1,13,6.07,10.0,40.0,12.0,0.9662,0,0
N4_M20,4,20,1,9,2,1,15,7.0,10.25,41.0,13.0,0.9318,0,0
N4_M20,4,20,1,9,3,1,36,16.8,25.25,101.0,29.0,0.9873,0,0
N4_M20,4,20,1,9,4,1,15,7.0,10.75,43.0,13.0,0.9691,0,1
N4_M20,4,20,2,0,0,1,31,13.53,18.0,72.0,23.0,0.9515,9,5
N4_M20,4,20,2,0,1,1,72,32.2,40.75,163.0,44.0,0.9954,21,18
N4_M20,4,20,2,0,2,1,17,7.93,9.0,36.0,12.0,0.9257,9,4
N4_M20,4,20,2,0,3,1,25,11.67,18.75,75.0,22.0,0.9772,0,1
N4_M20,4,20,2,0,4,1,42,19.13,22.25,89.0,27.0,0.9808,12,15
N4_M20,4,20,2,1,0,1,28,12.6,18.25,73.0,25.0,0.9389,4,1
N4_M20,4,20,2,1,1,1,30,13.53,19.0,76.0,22.0,0.9904,1,2
N4_M20,4,20,2,1,2,1,68,29.87,40.25,161.0,44.0,0.995,15,14
N4_M20,4,20,2,1,3,1,50,23.33,30.5,122.0,33.0,0.9955,4,4
N4_M20,4,20,2,1,4,1,34,15.4,21.25,85.0,22.0,0.9985,2,1
N4_M20,4,20,2,2,0,1,171,74.67,80.5,322.0,100.0,0.9763,138,14
N4_M20,4,20,2,2,1,1,130,51.8,51.5,206.0,67.0,0.8968,92,17
N4_M20,4,20,2,2,2,1,30,13.53,16.25,65.0,19.0,0.9507,16,7
N4_M20,4,20,2,2,3,1,219,84.93,90.0,360.0,115.0,0.9641,192,33
N4_M20,4,20,2,2,4,0,300,49.0,45.25,181.0,67.0,0.926,156,270
N4_M20,4,20,2,3,0,1,65,28.93,37.0,148.0,46.0,0.9733,19,13
N4_M20,4,20,2,3,1,1,85,37.8,46.75,187.0,54.0,0.9791,16,11
N4_M20,4,20,2,3,2,1,40,16.33,23.75,95.0,25.0,0.9918,7,7
N4_M20,4,20,2,3,3,1,95,39.67,45.5,182.0,56.0,0.9417,65,12
N4_M20,4,20,2,3,4,0,300,118.07,120.5,482.0,148.0,0.8649,164,51
N4_M20,4,20,2,4,0,1,123,55.53,64.75,259.0,83.0,0.9123,76,15
N4_M20,4,20,2,4,1,1,133,57.87,62.75,251.0,87.0,0.9257,85,30
N4_M20,4,20,2,4,2,1,101,43.4,51.5,206.0,63.0,0.9699,69,9
N4_M20,4,20,2,4,3,1,204,85.87,101.5,406.0,105.0,0.9981,51,53
N4_M20,4,20,2,4,4,1,64,29.4,35.0,140.0,46.0,0.9074,43,12
N4_M20,4,20,2,5,0,1,54,24.73,33.75,135.0,38.0,0.9942,10,8
N4_M20,4,20,2,5,1,1,117,51.33,62.75,251.0,73.0,0.9753,76,21
N4_M20,4,20,2,5,2,1,43,19.13,25.5,102.0,34.0,0.9012,27,1
N4_M20,4,20,2,5,3,1,130,57.4,68.25,273.0,86.0,0.9549,82,6
N4_M20,4,20,2,5,4,0,300,113.87,116.0,464.0,138.0,0.9698,144,100
N4_M20,4,20,2,6,0,1,45,21.0,30.75,123.0,36.0,0.9868,5,6
N4_M20,4,20,2,6,1,1,55,25.2,34.25,137.0,41.0,0.9713,9,3
N4_M20,4,20,2,6,2,1,260,100.8,108.5,434.0,130.0,0.9685,95,104
N4_M20,4,20,2,6,3,1,38,17.27,23.0,92.0,30.0,0.9618,14,2
N4_M20,4,20,2,6,4,1,82,37.33,49.0,196.0,60.0,0.983,23,10
N4_M20,4,20,2,7,0,1,39,15.87,17.0,68.0,20.0,0.9633,31,5
N4_M20,4,20,2,7,1,1,111,49.47,53.75,215.0,57.0,0.9943,63,12
N4_M20,4,20,2,7,2,1,65,28.47,32.75,131.0,36.0,0.991,37,6
N4_M20,4,20,2,7,3,1,50,20.07,22.25,89.0,33.0,0.9206,38,7
N4_M20,4,20,2,7,4,1,33,14.93,19.0,76.0,25.0,0.964,9,3
N4_M20,4,20,2,8,0,1,84,38.27,48.75,195.0,59.0,0.9507,59,1
N4_M20,4,20,2,8,1,1,47,20.53,23.75,95.0,25.0,0.9979,15,3
N4_M20,4,20,2,8,2,1,38,15.87,18.5,74.0,23.0,0.9627,4,8
N4_M20,4,20,2,8,3,1,124,55.53,74.25,297.0,90.0,0.948,61,17
N4_M20,4,20,2,8,4,1,32,13.53,18.25,73.0,22.0,0.976,5,7
N4_M20,4,20,2,9,0,1,24,11.2,13.25,53.0,18.0,0.9085,3,1
N4_M20,4,20,2,9,1,1,15,7.0,9.75,39.0,12.0,0.9676,0,4
N4_M20,4,20,2,9,2,1,17,7.47,10.75,43.0,12.0,0.9941,0,2
