method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,jain,wall_ms_per_step
astar,bbox,4,20,-1,9,True,8,26,8,0.9388888888888889,
ppo,,4,20,0,10,1.0,118.6,258.2,74.8,0.9804879502479593,0.7563337268128173
astar,median,4,20,-1,10,True,6,18,6,0.75,
astar,component,4,20,-1,10,True,32,44,22,0.7181008902077152,
astar,bbox,4,20,-1,10,True,12,30,12,0.8093525179856115,
ppo,,4,20,0,11,1.0,66.2,168.8,47.6,0.9878040620557632,0.7939558912386667
astar,median,4,20,-1,11,True,11,23,11,0.6782051282051282,
astar,component,4,20,-1,11,True,11,34,10,0.9633333333333334,
astar,bbox,4,20,-1,11,True,205,94,41,0.6771919068056407,
ppo,,4,20,0,12,1.0,55.0,125.0,39.0,0.9570424947300685,0.8026272727272757
astar,median,4,20,-1,12,True,34,34,12,0.8865030674846626,
astar,component,4,20,-1,12,True,18,39,13,0.9530075187969925,
astar,bbox,4,20,-1,12,True,104,56,18,0.9514563106796117,
ppo,,4,20,0,13,1.0,48.8,96.6,31.4,0.9565144265932913,0.7944299180327927
astar,median,4,20,-1,13,False,300,121,66,0.6217513164599966,
astar,component,4,20,-1,13,True,150,222,68,0.9795674988074415,
astar,bbox,4,20,-1,13,True,190,82,30,0.8970117395944504,
ppo,,4,20,0,14,1.0,70.8,146.4,46.2,0.968733280868101,0.8397146892655377
astar,median,4,20,-1,14,True,12,34,10,0.9444444444444444,
astar,component,4,20,-1,14,True,29,88,23,0.9989680082559339,
astar,bbox,4,20,-1,14,True,24,44,11,1.0,
ppo,,4,20,0,15,1.0,151.0,281.8,85.4,0.9574026013704504,0.7798437086092693
astar,median,4,20,-1,15,True,16,31,12,0.7392307692307692,
astar,component,4,20,-1,15,True,20,54,17,0.9370179948586118,
astar,bbox,4,20,-1,15,True,16,52,16,0.9575070821529745,
ppo,,4,20,0,16,1.0,20.6,57.8,18.4,0.9523688184939918,0.8829766990291488
astar,median,4,20,-1,16,True,4,14,4,0.9423076923076923,
astar,component,4,20,-1,16,True,8,22,8,0.8768115942028986,
astar,bbox,4,20,-1,16,True,4,14,4,0.9423076923076923,
ppo,,4,20,0,17,0.6,191.6,322.4,104.6,0.9371062537278577,0.8102154488517748
astar,median,4,20,-1,17,True,38,43,32,0.4268236380424746,
astar,component,4,20,-1,17,True,22,57,22,0.8995016611295681,
astar,bbox,4,20,-1,17,True,13,46,13,0.9796296296296296,
ppo,,4,20,0,18,1.0,27.6,73.4,21.6,0.979824158867368,0.8329275362318675
astar,median,4,20,-1,18,True,45,32,15,0.7398843930635838,
astar,component,4,20,-1,18,True,88,53,17,0.9502706359945873,
astar,bbox,4,20,-1,18,True,135,64,21,0.9660377358490566,
ppo,,4,20,0,19,0.8,145.0,278.2,83.0,0.9773286090587241,0.7677571034482734
astar,median,4,20,-1,19,True,67,58,17,0.9870892018779343,
astar,component,4,20,-1,19,True,160,204,53,0.9984644913627639,
astar,bbox,4,20,-1,19,True,47,64,17,0.9941747572815534,
ppo,,4,20,1,0,1.0,38.0,96.0,27.2,0.9795320019907632,0.7851910526315614
ppo,,4,20,1,1,1.0,71.6,188.2,51.6,0.9912200424675953,0.7770050279329568
ppo,,4,20,1,2,0.8,105.6,206.0,69.0,0.9536041527205736,0.8229287878787881
ppo,,4,20,1,3,1.0,55.8,126.6,38.4,0.9760853874898288,0.8325154121863908
ppo,,4,20,1,4,1.0,77.2,173.8,59.2,0.9330210641999622,0.8080152849740871
